"study_id","site_id","transect_id","plot_id","subtransect_id","debris_diameter","size_class","diameter_squared","debris_class","debris_transect_length"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","1","3.27","2.5-7.5","10.6929",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","1","3.2","2.5-7.5","10.24",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","1","3.16","2.5-7.5","9.9856",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","1","3.03","2.5-7.5","9.1809",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","1","1.75","<2.5","3.0625","rotten","5"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","2","17.66",">7.5","311.8756","rotten","12"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","2","13.66",">7.5","186.5956","sound","12"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","2","5.94","2.5-7.5","35.2836",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","2","4.54","2.5-7.5","20.6116",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","2","2.96","2.5-7.5","8.7616",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","3","4.37","2.5-7.5","19.0969",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","3","2","<2.5","4","intermediate","5"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","17.08",">7.5","291.7264","sound","12"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","2.87","2.5-7.5","8.2369",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","2.66","2.5-7.5","7.0756",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","2.51","2.5-7.5","6.3001",NA,"10"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","1.47","<2.5","2.1609","rotten","5"
"Cifuentes_and_Torres_2024","Boca Chica","1","1","4","1.76","<2.5","3.0976","rotten","5"
