Core,Site,Location,State,Latitude,Longitude,Date_Time,Year_collected,Season
CBE_1-1 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14139,-125.6662,2016-06-08T00:00:00,2016,
CBE_1-2 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14142,-125.66629,2016-06-08T00:00:00,2016,
CBE_1-3 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14147,-125.66636,2016-06-08T00:00:00,2016,
CBE_1-4 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14152,-125.66639,2016-06-08T00:00:00,2016,
CBE_1-5 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14155,-125.66644,2016-06-08T00:00:00,2016,
CBE_2-2 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.1414,-125.66618,2016-06-08T00:00:00,2016,
CBE_2-3 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14142,-125.66614,2016-06-08T00:00:00,2016,
CBE_2-4 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14144,-125.66609,2016-06-08T00:00:00,2016,
CBE_2-5 ,Cannery Bay East, Clayoquot Sound, British Columbia,49.14151,-125.66602,2016-06-08T00:00:00,2016,
CBW_1 ,Cannery Bay West, Clayoquot Sound, British Columbia,49.14115,-125.66983,2016-01-01T00:00:00,2016,summer
CBW_2 ,Cannery Bay West, Clayoquot Sound, British Columbia,49.14115,-125.66982,2016-01-01T00:00:00,2016,summer
CBW_3 ,Cannery Bay West, Clayoquot Sound, British Columbia,49.14113,-125.66962,2016-01-01T00:00:00,2016,summer
CBW_4 ,Cannery Bay West, Clayoquot Sound, British Columbia,49.14112,-125.66955,2016-01-01T00:00:00,2016,summer
CRF_1-1 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.27905,-125.90754,2016-09-16T00:00:00,2016,
CRF_1-2 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.27896,-125.90758,2016-09-16T00:00:00,2016,
CRF_2-1 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.27935,-125.90932,2016-09-16T00:00:00,2016,
CRF_2-2 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.27916,-125.90926,2016-09-16T00:00:00,2016,
CRF_3-1 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.2789,-125.911,2016-09-16T00:00:00,2016,
CRF_3-2 ,Cypress River Flats, Clayoquot Sound, British Columbia,49.27882,-125.91087,2016-09-16T00:00:00,2016,
GBK_1-1 ,Grice Bay- Kootowis Creek, Clayoquot Sound, British Columbia,49.14139,-125.73238,2016-05-27T00:00:00,2016,
GBK_1-2 ,Grice Bay- Kootowis Creek, Clayoquot Sound, British Columbia,49.08756,-125.73261,2016-05-27T00:00:00,2016,
GBK_1-3 ,Grice Bay- Kootowis Creek, Clayoquot Sound, British Columbia,49.08763,-125.73271,2016-05-27T00:00:00,2016,
GBK_1-4 ,Grice Bay- Kootowis Creek, Clayoquot Sound, British Columbia,49.08771,-125.73283,2016-05-27T00:00:00,2016,
KCS_1-1 ,Kennedy Cove South, Clayoquot Sound, British Columbia,49.13696,-125.67082,2016-01-01T00:00:00,2016,summer
KCS_1-2 ,Kennedy Cove South, Clayoquot Sound, British Columbia,49.13707,-125.67085,2016-01-01T00:00:00,2016,summer
KCS_1-3 ,Kennedy Cove South, Clayoquot Sound, British Columbia,49.13714,-125.67093,2016-01-01T00:00:00,2016,summer
KCS_1-4 ,Kennedy Cove South, Clayoquot Sound, British Columbia,49.13719,-125.67096,2016-01-01T00:00:00,2016,summer
KCS_1-5 ,Kennedy Cove South, Clayoquot Sound, British Columbia,49.1372,-125.67107,2016-01-01T00:00:00,2016,summer
SWC_1-1 ,Shipwreck Cove, Clayoquot Sound, British Columbia,49.12995,-125.69943,2016-01-01T00:00:00,2016,summer
SWC_2-1 ,Shipwreck Cove, Clayoquot Sound, British Columbia,49.13014,-125.69908,2016-01-01T00:00:00,2016,summer
TMF_1-1 ,Tofino Mud Flats, Clayoquot Sound, British Columbia,49.13014,-125.88689,2016-06-09T00:00:00,2016,
TMF_1-2 ,Tofino Mud Flats, Clayoquot Sound, British Columbia,49.1302,-125.88688,2016-06-09T00:00:00,2016,
TMF_2-1 ,Tofino Mud Flats, Clayoquot Sound, British Columbia,49.12989,-125.88661,2016-06-09T00:00:00,2016,
TMF_2-2 ,Tofino Mud Flats, Clayoquot Sound, British Columbia,49.13017,-125.88665,2016-06-09T00:00:00,2016,
