Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Alnmouth,England,2019,55.38815,-1.6187475,NU2425110531,424251,610531,Syringe,0_10,0.65,7.53,11.53,Not Sandy,11.53,7.53
Alnmouth,England,2019,55.3896,-1.617476944,NU2433110693,424331,610693,Syringe,0_10,0.47,11.00,18.73,Not Sandy,18.73,11.00
Breydon Bridge,England,2019,52.58839,1.643605556,TG4690405190,646904,305190,Syringe,0_10,0.47,9.26,17.81,Not Sandy,17.81,9.26
Breydon Bridge,England,2019,52.58846,1.643563889,TG4690005198,646900,305198,Syringe,0_10,0.39,9.17,20.83,Not Sandy,20.83,9.17
Breydon Bridge,England,2019,52.58857,1.643583333,TG4690105210,646901,305210,Syringe,0_10,0.36,12.52,28.22,Not Sandy,28.22,12.52
Breydon Bridge,England,2019,52.58862,1.643527778,TG4689705215,646897,305215,Syringe,0_10,0.29,13.52,34.55,Not Sandy,34.55,13.52
Breydon Bridge,England,2019,52.58873,1.643422222,TG4688905227,646889,305227,Syringe,0_10,0.31,11.00,41.91,Organic,41.91,11.00
Brunton Burn,England,2019,55.53769,-1.640111111,NU2281227166,422812,627166,Syringe,0_10,1.26,5.79,2.50,Sandy ,2.50,5.79
Brunton Burn,England,2019,55.53754,-1.640733333,NU2277227149,422772,627149,Syringe,0_10,1.23,2.41,2.77,Sandy ,2.77,2.41
Brunton Burn,England,2019,55.53775,-1.639573611,NU2284527173,422845,627173,Syringe,0_10,1.26,6.78,2.78,Sandy ,2.78,6.78
Brunton Burn,England,2019,55.53773,-1.639615833,NU2284327171,422843,627171,Syringe,0_10,1.14,4.38,3.59,Sandy ,3.59,4.38
Brunton Burn,England,2019,55.53758,-1.639398611,NU2285727154,422857,627154,Syringe,0_10,1.28,8.68,5.16,Sandy ,5.16,8.68
Burgh (Solway),England,2019,54.923122,-3.0853725,NY3053559254,330535,559254,Syringe,0_10,0.73,10.53,19.53,Not Sandy,19.53,10.53
Burgh (Solway),England,2019,54.925459,-3.0863717,NY3047559515,330475,559515,Syringe,0_10,0.42,26.15,42.25,Not Sandy,42.25,26.15
Burgh (Solway),England,2019,54.927685,-3.0907387,NY3019959767,330199,559767,Syringe,0_10,0.45,16.33,31.83,Not Sandy,31.83,16.33
Burgh (Solway),England,2019,54.930157,-3.0906028,NY3021260042,330212,560042,Syringe,0_10,0.67,10.11,19.48,Not Sandy,19.48,10.11
Burgh (Solway),England,2019,54.932706,-3.0919828,NY3012860327,330128,560327,Syringe,0_10,1.17,2.21,3.65,Sandy,3.65,2.21
Butley Ferry,England,2019,52.08013,1.489391667,TM3918948165,639189,248165,Syringe,0_10,0.89,2.38,8.65,Not Sandy,8.65,2.38
Butley Ferry,England,2019,52.08013,1.489494444,TM3919648165,639196,248165,Syringe,0_10,0.63,4.86,12.61,Not Sandy,12.61,4.86
Butley Ferry,England,2019,52.08013,1.489463889,TM3919348165,639193,248165,Syringe,0_10,0.54,3.21,13.76,Not Sandy,13.76,3.21
Butley Ferry,England,2019,52.08013,1.489436111,TM3919248165,639192,248165,Syringe,0_10,0.57,3.66,14.43,Not Sandy,14.43,3.66
Butley Ferry,England,2019,52.08012,1.489480556,TM3919548164,639195,248164,Syringe,0_10,0.58,5.58,15.00,Not Sandy,15.00,5.58
Clwyd,Wales,2019,53.30462,-3.5001809,SJ0013079680,300130,379680,Syringe,0_10,0.89,3.33,9.43,Not Sandy,9.43,3.33
Clwyd,Wales,2019,53.30437,-3.5012228,SJ0006079654,300060,379654,Syringe,0_10,0.65,4.79,10.54,Not Sandy,10.54,4.79
Clwyd,Wales,2019,53.30421,-3.5019229,SJ0001379637,300013,379637,Syringe,0_10,1.16,4.60,10.77,Not Sandy,10.77,4.60
Clwyd,Wales,2019,53.30456,-3.5006364,SJ0009979674,300099,379674,Syringe,0_10,0.89,3.96,10.82,Not Sandy,10.82,3.96
Clwyd,Wales,2019,53.30428,-3.5016375,SJ0003279644,300032,379644,Syringe,0_10,0.80,4.72,12.64,Not Sandy,12.64,4.72
Cockleshell Creek,England,2019,51.36978,0.7980001,TQ9485567129,594855,167129,Syringe,0_10,0.66,3.51,11.72,Not Sandy,11.72,3.51
Cockleshell Creek,England,2019,51.37027,0.79848021,TQ9488667185,594886,167185,Syringe,0_10,0.58,4.60,12.09,Not Sandy,12.09,4.60
Cockleshell Creek,England,2019,51.36936,0.79787135,TQ9484867082,594848,167082,Syringe,0_10,0.57,5.33,15.16,Not Sandy,15.16,5.33
Cockleshell Creek,England,2019,51.37047,0.79854459,TQ9489067207,594890,167207,Syringe,0_10,0.35,11.05,23.34,Not Sandy,23.34,11.05
Crossens,England,2019,53.67916,-2.999677,SD3406520764,334065,420764,Syringe,0_10,1.24,2.67,2.25,Sandy ,2.25,2.67
Crossens,England,2019,53.67898,-2.997352972,SD3421920742,334219,420742,Syringe,0_10,0.84,2.55,6.45,Sandy ,6.45,2.55
Crossens,England,2019,53.6786,-2.992732,SD3452320695,334523,420695,Syringe,0_10,0.79,7.19,8.10,Not Sandy,8.10,7.19
