"study_id","site_id","impact_class","stressor_class"
"Nahlik_and_Fennessey_2017","NWCA11-1266","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1304","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1299","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2407","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2634","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R305","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-OH-3006","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1210","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R127","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4151","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4147","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4145","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4141","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4138","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2358","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2355","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2343","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2342","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2339","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2538","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1617","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1830","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2704","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4505","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1200","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1233","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1705","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-OH-3030","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1267","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1337","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4499","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2706","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-6315","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2566","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2058","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R321","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R315","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-6302","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-6301","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4503","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2931","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1814","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1790","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1743","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1744","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1747","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1748","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1749","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2267","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2389","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2388","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2749","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2748","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2747","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2393","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1543","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1188","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1187","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1186","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1184","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1179","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1547","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R012","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1291","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1316","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1325","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1631","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1346","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-R304","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2459","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2444","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2199","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2190","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1106","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1114","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1118","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1123","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1136","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1140","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1144","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1147","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1209","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1238","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1271","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1275","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1384","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1667","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1675","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1701","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1862","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2073","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2571","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2667","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2908","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2910","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2914","impounded","High"
